,team,home_game_count,away_team,away_game_count,home_goals,home_lost_goals,home_goals_per_game,away_lost_goals,away_goals,away_goals_per_game,total_goals,total_games,results,winning_rate
176,Montenegro,52.0,Montenegro,48.0,70.0,59.0,129.0,72.0,52.0,124.0,122.0,100.0,33.0,0.33
109,Greenland,30.0,Greenland,43.0,75.0,45.0,120.0,102.0,65.0,167.0,140.0,73.0,24.0,0.3287671232876712
105,Gibraltar,52.0,Gibraltar,40.0,84.0,102.0,186.0,108.0,55.0,163.0,139.0,92.0,30.0,0.32608695652173914
288,Vanuatu,63.0,Vanuatu,110.0,118.0,114.0,232.0,267.0,223.0,490.0,341.0,173.0,56.0,0.3236994219653179
230,Saint Martin,13.0,Saint Martin,21.0,19.0,31.0,50.0,66.0,20.0,86.0,39.0,34.0,11.0,0.3235294117647059
69,Curaçao,118.0,Curaçao,134.0,183.0,132.0,315.0,302.0,163.0,465.0,346.0,252.0,81.0,0.32142857142857145
209,Peru,258.0,Peru,310.0,371.0,289.0,660.0,505.0,307.0,812.0,678.0,568.0,181.0,0.31866197183098594
179,Mozambique,141.0,Mozambique,156.0,191.0,151.0,342.0,233.0,121.0,354.0,312.0,297.0,94.0,0.3164983164983165
82,El Salvador,255.0,El Salvador,202.0,357.0,308.0,665.0,357.0,148.0,505.0,505.0,457.0,144.0,0.3150984682713348
40,Burkina Faso,182.0,Burkina Faso,199.0,280.0,204.0,484.0,324.0,162.0,486.0,442.0,381.0,120.0,0.31496062992125984
232,Samoa,32.0,Samoa,19.0,54.0,86.0,140.0,83.0,17.0,100.0,71.0,51.0,16.0,0.3137254901960784
42,Burundi,79.0,Burundi,100.0,93.0,70.0,163.0,156.0,101.0,257.0,194.0,179.0,56.0,0.3128491620111732
295,Western Armenia,5.0,Western Armenia,11.0,7.0,10.0,17.0,10.0,27.0,37.0,34.0,16.0,5.0,0.3125
80,Ecuador,210.0,Ecuador,258.0,338.0,241.0,579.0,439.0,236.0,675.0,574.0,468.0,146.0,0.31196581196581197
241,Sierra Leone,106.0,Sierra Leone,142.0,140.0,82.0,222.0,255.0,98.0,353.0,238.0,248.0,77.0,0.31048387096774194
